home_SA2,work_SA2,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total
136400,136400,297,42,12,,18,,,153,,6,534
136500,136500,135,12,12,,,,,6,,,165
136600,136600,105,12,9,,,,,,,,123
136700,136700,324,36,18,,,,,15,,,399
136800,136800,48,,,,,,,,,,54
136900,136900,126,9,,,,,,24,,,168
137000,137000,87,15,,,,,,6,,,111
137100,137100,72,6,6,,,,,,,,87
137200,137200,123,9,9,,,,,6,,,150
137300,137300,60,9,,,,,,,,,78
137400,137400,303,9,,,,,,15,,,333
137500,137500,180,27,6,,,,,9,,,222
137600,137600,75,,,,,,,,,,81
137700,137700,48,,,,,,,15,,,66
137800,137800,177,9,,,,,,15,,,204
137900,137900,66,18,,,,,,9,,,99
138000,138000,129,12,15,,,,,9,,,168
138100,138100,162,15,,,,,,15,,,198
138200,138200,135,6,6,,,,,6,,,153
138300,138300,138,18,15,,,,,6,,,180
138400,138400,213,6,,,,,,,,,228
138500,138500,204,48,9,,6,,,195,,,465
138600,138600,60,6,,,,,,,,,72
138700,138700,180,15,9,,,,,18,,,228
138800,138800,,,,,,,,,,,9
138900,138900,138,30,9,,,,,15,,,198
139000,139000,192,21,,,,,,27,,,246
139100,139100,54,,,,,,,,,,63
139200,139200,225,12,9,,,,,6,,,258
139300,139300,186,15,6,,,,,12,,,222
139400,139400,216,9,,,,,,,,,234
139500,139500,90,9,,,,,,,,,111
139600,139600,93,6,6,,,,,9,,,126
139700,139700,159,21,6,,6,,,15,,,210
139800,139800,147,21,6,,,,,6,,,186
139900,139900,222,12,9,,,,,12,,,255
140000,140000,285,18,,,,,,15,,,324
140100,140100,189,24,6,,,,,6,,,231
140200,140200,189,21,,,,,,6,,,225
140300,140300,186,27,6,,,,,66,,,291
140400,140400,87,15,,,,,,9,,,117
140500,140500,252,15,,,,,,12,,,279
140600,140600,84,,,,,,,,,,90
140700,140700,51,9,,,,,,,,,66
140800,140800,243,12,,,,,,6,,,267
140900,140900,204,33,9,,,,,12,,,258
141000,141000,219,33,6,,,,,33,,,294
141100,141100,339,30,6,,,,,21,,,396
141200,141200,69,9,,,,,,9,,,93
141300,141300,147,6,6,,,,,,,,165
141500,141500,138,9,,,,,,24,,,186
141600,141600,210,9,,,,,,,,,228
141700,141700,141,,,,,,,,,,144
141800,141800,357,21,6,,,,,24,,,414
141900,141900,159,6,,,,,,,,,171
142000,142000,123,24,,,,,,24,,,177
142100,142100,99,18,,,,,,,,,129
142200,142200,219,33,9,,,,,33,,,300
142300,142300,84,6,9,,,,,,,,105
142400,142400,216,6,,,,,,6,,,240
142500,142500,108,6,,,,,,,,,123
142600,142600,120,6,,,,,,9,,,141
142700,142700,279,12,,,,,,,,,300
142800,142800,222,9,9,,,,,9,,,246
142900,142900,75,,,,,,,,,,87
143000,143000,321,42,6,,,,,24,,,396
143100,143100,225,18,6,,,,,,,,255
143200,143200,150,6,,,,,,,,,156
143300,143300,165,24,6,,,,,12,,,213
143400,143400,93,21,,,,,,30,,,150
143500,143500,240,24,,,,,,,,,276
143600,143600,132,,6,,,,,,,,141
143700,143700,183,15,6,,,,,12,,,219
143800,143800,174,9,,,,,,,,,186
143900,143900,132,,,,,,,,,,147
144000,144000,333,21,12,,,,,6,,,375
144100,144100,177,12,,,,,,6,,,198
144200,144200,9,,,,,,,,,,21
144300,144300,153,,,,,,,,,,162
144400,144400,132,9,6,,,,,6,,,156
144500,144500,108,9,,,,,,,,,123
144600,144600,171,69,12,9,,,6,39,,,312
144700,144700,111,15,,,,,,6,,,141
144800,144800,114,6,,,,,,9,,,138
144900,144900,126,,,,,,,,,,135
145000,145000,105,15,,,,,,39,,,162
145100,145100,249,51,9,,,,,30,,,342
145200,145200,87,9,,,,,,,,,108
145300,145300,96,27,9,,,,,21,,,156
145400,145400,18,12,,,,,,9,,,42
145500,145500,48,18,6,,,,,9,,,93
145600,145600,105,,,,,,,9,,,129
145700,145700,111,,,,,,,,,,117
145800,145800,102,18,,,,,,9,,,135
145900,145900,36,33,6,,,,,12,,,102
146000,146000,81,,6,,,,,,,,93
146100,146100,144,12,12,,,,,12,,,177
146200,146200,126,12,6,,,,,6,,,150
146300,146300,81,9,6,,,,,6,,,105
146400,146400,171,18,6,,,,,6,,,204
146500,146500,72,6,,,,,,,,,84
146600,146600,96,,9,,,,,,,,114
146700,146700,9,,,,,,,,,,15
146800,146800,111,30,9,,,,,9,,,162
146900,146900,108,9,,,,,,9,,,135
147000,147000,84,24,,,,,,9,,,120
147100,147100,96,6,,,,,,6,,,117
147200,147200,156,21,12,,,,,15,,,207
147500,147500,96,18,6,,,,,,,,126
147600,147600,192,36,9,9,,,,18,6,,270
147700,147700,,,,,,,,,,,12
147800,147800,153,15,9,,,,,,,,183
147900,147900,39,45,9,,,,,,,,105
148000,148000,123,12,,,,,,,,,144
148100,148100,183,24,9,,,,,27,,,246
148200,148200,72,18,,,,,,9,,,105
148300,148300,105,6,,,,,,,,,123
148400,148400,135,12,6,,,,,6,,,159
148500,148500,36,,,,,,,,,,42
148600,148600,45,,,,,,,,,,57
148700,148700,141,111,33,,,,,45,,9,354
148800,148800,84,12,,,,,,,,,105
148900,148900,66,9,,,,,,12,,,90
149000,149000,138,9,9,,,,,15,,,168
149100,149100,75,,,,,,,,,,87
149200,149200,105,9,6,,,,,,,,123
149300,149300,99,12,6,,,,,,,,123
149400,149400,81,12,,,,,,,,,99
149500,149500,51,6,,,,,,,,,63
149700,149700,180,18,12,,,,,,,,210
149800,149800,108,24,,,,,,12,,,150
149900,149900,366,48,15,6,,,,9,,,450
150000,150000,66,9,,,,,,,,,78
150100,150100,45,21,6,,,,,15,,,96
150200,150200,48,30,,,,,,9,,,96
150300,150300,72,9,,,,,,,,,93
150400,150400,198,15,9,,,,,,,,228
150500,150500,96,15,9,,,,,,,,126
150600,150600,279,30,18,,,,,12,,,342
150700,150700,99,33,15,,,,,,,,162
150800,150800,51,12,,,,,,,,,69
150900,150900,60,6,,,,,,,,,72
151000,151000,69,12,9,,,,,,,,90
151100,151100,123,42,12,,,,,6,,,198
151200,151200,57,6,,,,,,6,,,72
151300,151300,162,60,6,,,,,21,,,258
151400,151400,102,18,,,,,,24,,,156
151500,151500,111,12,12,,,,,,,,132
151600,151600,72,6,,,,,,,,,81
151700,151700,141,15,12,,,,,6,,,186
151800,151800,63,9,,,,,,,,,78
151900,151900,57,,,,,,,12,,,81
152000,152000,147,18,,,,,,6,,,177
152100,152100,69,12,,,,,,,,,90
152200,152200,114,12,6,,,,,,,,138
152300,152300,27,33,6,,,,,9,,,78
152400,152400,168,45,21,,,,,27,,,264
152500,152500,57,9,,,,,,,,,69
152600,152600,27,,,,,,,,,,30
152800,152800,111,24,,,,,,,,,147
152900,152900,120,6,,,,,,,,,126
153000,153000,39,12,,,,,,,,,54
153100,153100,114,15,9,,,,,,,,144
153200,153200,30,,,,,,,,,,36
153300,153300,96,12,6,,,,,12,,,126
153400,153400,276,33,15,,,,,9,,,336
153500,153500,42,12,,,,,,,,,63
153600,153600,33,12,6,,,,,,,,51
153700,153700,120,9,,,,,,,,,135
153800,153800,201,39,15,,,,,9,,,267
153900,153900,99,6,,,,,,,,,111
154000,154000,117,15,,,,,,,,,144
154100,154100,93,15,15,,,,,,,,135
154200,154200,90,15,6,,,,,,,,111
154300,154300,195,15,12,,,,,,,,228
154400,154400,33,18,,,,,,6,,,66
154500,154500,93,,,,,,,,,,102
154700,154700,126,,,,,,,,,,138
154800,154800,120,15,9,,,,,,,,150
154900,154900,135,81,6,,,,,18,,,258
155000,155000,195,42,9,,,,6,27,,,285
155100,155100,75,,,,,,,,,,84
155200,155200,102,9,9,,,,,,,,123
155300,155300,96,9,,,,,,,,,108
155400,155400,135,6,,,,,,,,,147
155500,155500,30,30,,,,,,18,,,87
155600,155600,99,15,6,6,,,,,,,129
155700,155700,54,,,,,,,,,,60
155800,155800,48,,,,,,,,,,54
155900,155900,48,12,6,,,,,6,,,75
156000,156000,,,,,,,,,,,12
156100,156100,87,15,6,,,,,,,,108
156200,156200,90,15,6,,,,,,,,117
156300,156300,165,9,,,,,,,,,180
156400,156400,165,36,12,,,,6,15,,,240
156500,156500,81,24,6,,,,,,,,114
156600,156600,120,9,6,,,,,6,,,138
156700,156700,63,9,,,,,,,,,75
156800,156800,24,,,,,,,,,,30
156900,156900,141,21,,,,,,,,,171
157000,157000,81,12,,,,,,,,,105
157100,157100,342,42,24,,,,,,,,414
157200,157200,39,,,,,,,,,,45
157300,157300,72,9,,,,,,,,,87
157400,157400,168,27,9,,,,,6,,,216
157500,157500,69,24,,,,,,9,,,111
157600,157600,39,36,6,,,,,18,,,102
157700,157700,78,9,,,,,,,,,90
157800,157800,141,15,6,,,,,,,,165
157900,157900,90,15,6,,,,,,,,117
158000,158000,60,12,,,,,,,,,81
158100,158100,183,36,18,,,,,9,,,249
158200,158200,93,15,,,,,,,,,120
158300,158300,114,9,,,,,,,,,129
158400,158400,54,24,,,,,,,,,84
158500,158500,171,36,15,,,,,,,,225
158600,158600,45,,,,,,,,,,54
158700,158700,63,6,,,,,,,,,72
158800,158800,66,,,,,,,,,,75
158900,158900,102,,,,,,,,,,105
159000,159000,72,9,,,,,,,,,87
159100,159100,60,6,,,,,,,,,81
159200,159200,69,12,,,,,,,,,87
159300,159300,213,24,15,,,,,15,,,267
159400,159400,102,12,6,,,,,6,,,129
159500,159500,60,,,,,,,,,,60
159600,159600,75,9,,,,,,,,,87
159700,159700,30,9,,,,,,,,,48
159800,159800,207,33,12,,,,,,,,258
159900,159900,48,18,,,,,,,,,72
160000,160000,72,,,,,,,6,,,81
160100,160100,75,27,,,,,,12,,,123
160200,160200,93,18,6,,,,,,,,120
160300,160300,102,21,9,,,,,6,,,138
160400,160400,153,18,15,,,,,,,,183
160500,160500,63,,,,,,,6,,,75
160600,160600,72,12,,,,,,,,,90
160700,160700,87,9,12,,,,,6,,,120
160800,160800,51,12,,,,,,,,,72
160900,160900,63,12,,,,,,,,,90
161000,161000,57,21,,,,,,,,,84
161100,161100,144,27,6,,,,,9,,,186
161200,161200,42,,,,,,,,,,48
161300,161300,54,,9,,,,,,,,66
161400,161400,345,63,27,,,,,12,,,456
161500,161500,78,9,,,,,,,,,87
161600,161600,72,12,,,,,,,,,87
161700,161700,,,,,,,,,,,9
161800,161800,138,6,6,,,,,9,,,162
161900,161900,60,,,,,,,,,,75
162000,162000,54,9,,,,,,12,,,75
162100,162100,138,6,6,,,,,,,,153
162200,162200,39,27,,,,,,6,,,75
162300,162300,153,24,6,,,,,6,,,192
162400,162400,237,105,9,,,,,,,6,369
162500,162500,144,24,,,,,,,,,174
162600,162600,36,,,,,,,,,,45
162700,162700,207,45,15,,,,,6,,,285
162800,162800,57,,,,,,,,,,66
162900,162900,174,36,9,9,,,,9,,,240
163000,163000,108,12,9,,,,,,,,132
163100,163100,120,24,6,,,,,6,,,159
163200,163200,99,48,18,6,,,,27,,,198
163300,163300,75,,,,,,,,,,87
163400,163400,102,,,,,,,,,,111
163500,163500,63,9,,,,,,6,,,84
163600,163600,63,6,,,,,,,,,75
163700,163700,114,33,,,,,,12,,,168
163800,163800,177,51,15,,,,,21,,,273
163900,163900,99,6,,,,,,,,,108
164000,164000,102,9,6,,,,,,,,126
164100,164100,,6,,,,,,,,,12
164200,164200,81,6,9,,,,,,,,93
164300,164300,72,42,12,,,,,9,,,141
164400,164400,66,39,6,,,,,18,,,126
164500,164500,84,54,12,,,,,9,,,165
164600,164600,249,33,30,6,,,,,,,324
164700,164700,60,45,,,,,,12,,,123
164800,164800,63,6,,,,,,,,,81
164900,164900,66,,6,,,,,,,,75
165000,165000,204,39,27,,,,,21,,,294
165100,165100,213,15,12,,,,,27,,,276
165200,165200,144,18,12,,,,,,,,180
165300,165300,165,57,21,6,,,,27,,,273
165400,165400,120,12,6,,,,,,,,144
165500,165500,132,15,9,,,,,6,,,162
165600,165600,78,,,,,,,,,,81
165700,165700,66,18,,,,,,6,,,99
165800,165800,102,18,15,,,,,6,,,138
165900,165900,96,9,9,,,,,6,,,120
166000,166000,18,18,,,,,,15,,,54
166100,166100,66,,,,,,,,,,75
